"","sid","frame_size","magnitude","task"
"275","31116cm","Large",0.7096907815,"perception"
"276","31116cm","Extra Large",0.6547238815,"perception"
"277","31121cd","Small",1.8253836965,"perception"
"278","31121cd","Medium",1.436887725,"perception"
"279","31121cd","Large",1.933998997,"perception"
"280","31121cd","Extra Large",1.6615011095,"perception"
"281","31121dc","Small",2.698095241,"perception"
"282","31121dc","Medium",2.033954637,"perception"
"283","31121dc","Large",1.260152442,"perception"
"284","31121dc","Extra Large",1.553769155,"perception"
"285","31121mm","Small",6.351867655,"perception"
"286","31121mm","Medium",4.1420382485,"perception"
"287","31121mm","Large",3.607918343,"perception"
"288","31121mm","Extra Large",2.53952529,"perception"
"289","31122cc","Small",1.4368465,"perception"
"290","31122cc","Medium",1.056108906,"perception"
"291","31122cc","Large",-0.0624766395,"perception"
"292","31122cc","Extra Large",1.217287333,"perception"
"293","31122is","Small",2.617811909,"perception"
"294","31122is","Medium",1.8453370335,"perception"
"295","31122is","Large",1.4130229785,"perception"
"296","31122is","Extra Large",1.8647368335,"perception"
"297","31122md","Small",2.1198763145,"perception"
"298","31122md","Medium",1.165295115,"perception"
"299","31122md","Large",0.6701323825,"perception"
"300","31122md","Extra Large",1.176702772,"perception"
"301","31122ns","Small",1.6214902725,"perception"
"302","31122ns","Medium",1.171736787,"perception"
"303","31122ns","Large",1.473990597,"perception"
"304","31122ns","Extra Large",1.292332046,"perception"
"305","31127cj","Small",1.7969520685,"perception"
"306","31127cj","Medium",1.365328772,"perception"
"307","31127cj","Large",1.5490217455,"perception"
"308","31127cj","Extra Large",1.228094155,"perception"
"309","31127ks","Small",2.12899238,"perception"
"310","31127ks","Medium",3.2153396565,"perception"
"311","31127ks","Large",1.345523111,"perception"
"312","31127ks","Extra Large",1.4823340415,"perception"
"313","31127nf","Small",1.86867483,"perception"
"314","31127nf","Medium",0.890161474,"perception"
"315","31127nf","Large",1.3743569075,"perception"
"316","31127nf","Extra Large",0.9186189165,"perception"
"317","40216ss","Small",1.686081354,"perception"
"318","40216ss","Medium",1.7362575355,"perception"
"319","40216ss","Large",1.243742016,"perception"
"320","40216ss","Extra Large",0.485297274,"perception"
"321","30201cc","Small",2.46076669425403,"combined_saccade"
