"","sid","frame_size","s2r","perception"
"266","31114mc","Medium",0.252000923945405,2.783176437
"267","31114mc","Large",-1.04253287639836,1.468823251
"268","31114mc","Extra Large",0.0426733223992294,1.7147925865
"269","31115sr","Small",-3.54490614857565,3.235660777
"270","31115sr","Medium",-1.65258882864249,1.78148901
"271","31115sr","Large",-2.04268780951274,2.448515694
"272","31115sr","Extra Large",-1.14209641656159,1.4185363245
"273","31116cm","Small",-1.04761455019513,0.670102859
"274","31116cm","Medium",-1.18550378349039,0.785485265
"275","31116cm","Large",-0.964771999884067,0.7096907815
"276","31116cm","Extra Large",-0.331964249766902,0.6547238815
"277","31121cd","Small",-0.531267212114793,1.8253836965
"278","31121cd","Medium",-0.782649711327848,1.436887725
"279","31121cd","Large",-0.528983798578723,1.933998997
"280","31121cd","Extra Large",-0.307790664623348,1.6615011095
"281","31121dc","Small",1.45753872174625,2.698095241
"282","31121dc","Medium",-1.49826969906598,2.033954637
"283","31121dc","Large",4.02263181479527,1.260152442
"284","31121dc","Extra Large",-1.93743350258544,1.553769155
"285","31121mm","Small",-1.24675769899075,6.351867655
"286","31121mm","Medium",-1.05411254106418,4.1420382485
"287","31121mm","Large",-0.524243298555142,3.607918343
"288","31121mm","Extra Large",-1.02263697937414,2.53952529
"289","31122cc","Small",-2.31212727492233,1.4368465
"290","31122cc","Medium",-1.47408170928184,1.056108906
"291","31122cc","Large",0.350803525935224,-0.0624766395
"292","31122cc","Extra Large",0.0498387526339812,1.217287333
"293","31122is","Small",-2.56191265804023,2.617811909
"294","31122is","Medium",-0.480784059822249,1.8453370335
"295","31122is","Large",-1.00216394473221,1.4130229785
"296","31122is","Extra Large",-0.880839371474098,1.8647368335
"297","31122md","Small",-2.37649569546627,2.1198763145
"298","31122md","Medium",-0.933056051391945,1.165295115
"299","31122md","Large",-2.02985242638484,0.6701323825
"300","31122md","Extra Large",-1.19125904514116,1.176702772
"301","31122ns","Small",-0.87836685802506,1.6214902725
"302","31122ns","Medium",-3.41153146944926,1.171736787
"303","31122ns","Large",-0.446685238521379,1.473990597
"304","31122ns","Extra Large",-3.3115273654598,1.292332046
"305","31127cj","Small",-6.46723600542298,1.7969520685
"306","31127cj","Medium",-4.37904496344151,1.365328772
"307","31127cj","Large",-2.51602778439923,1.5490217455
"308","31127cj","Extra Large",-2.05182908652655,1.228094155
"309","31127ks","Small",-1.04564170860085,2.12899238
"310","31127ks","Medium",-1.1672274689614,3.2153396565
"311","31127ks","Large",-0.857278676971747,1.345523111
"312","31127ks","Extra Large",-0.199244012097079,1.4823340415
"313","31127nf","Small",-1.5475246823347,1.86867483
"314","31127nf","Medium",-0.819950479589167,0.890161474
"315","31127nf","Large",-0.86670111575671,1.3743569075
"316","31127nf","Extra Large",-0.879199519346029,0.9186189165
"317","40216ss","Small",-1.24024794622816,1.686081354
"318","40216ss","Medium",0.572181861640421,1.7362575355
"319","40216ss","Large",0.166017152932742,1.243742016
"320","40216ss","Extra Large",-0.137489980454478,0.485297274
