"","sid","frame_size","cw","ccw","frame_effect_perception","magnitude"
"135","p30505pp","Large",1.101480202,-0.289846211,0.6956632065,0.6956632065
"136","p30505pp","Extra Large",0.76837908,0.735514705,0.0164321875,0.0164321875
"137","p30508ab","Small",3.289293304,1.193320652,1.047986326,1.047986326
"138","p30508ab","Medium",3.717786867,1.343164691,1.187311088,1.187311088
"139","p30508ab","Large",2.446826976,1.107506733,0.6696601215,0.6696601215
"140","p30508ab","Extra Large",2.408156817,1.907031752,0.2505625325,0.2505625325
"141","p30509aa","Small",4.812511975,-2.055897449,3.434204712,3.434204712
"142","p30509aa","Medium",3.172845585,-0.795542771,1.984194178,1.984194178
"143","p30509aa","Large",4.242488459,-1.586653865,2.914571162,2.914571162
"144","p30509aa","Extra Large",4.337135227,-1.69910587,3.0181205485,3.0181205485
"145","p30511ki","Small",2.524431205,-0.935234267,1.729832736,1.729832736
"146","p30511ki","Medium",2.099576284,-1.581022302,1.840299293,1.840299293
"147","p30511ki","Large",2.410563624,-1.13291032,1.771736972,1.771736972
"148","p30511ki","Extra Large",2.519778175,-1.778621618,2.1491998965,2.1491998965
"149","p30516dl","Small",1.648054356,-2.682504715,2.1652795355,2.1652795355
"150","p30516dl","Medium",0.852128958,-1.898484459,1.3753067085,1.3753067085
"151","p30516dl","Large",1.158083652,-1.787704599,1.4728941255,1.4728941255
"152","p30516dl","Extra Large",0.582437453,-1.458651582,1.0205445175,1.0205445175
"153","p30516gm","Small",2.177194788,-3.802256332,2.98972556,2.98972556
"154","p30516gm","Medium",-0.190616178,-3.671434501,1.7404091615,1.7404091615
"155","p30516gm","Large",-0.178459561,-2.294872464,1.0582064515,1.0582064515
"156","p30516gm","Extra Large",0.577479603,-1.995955638,1.2867176205,1.2867176205
"157","p30530iw","Small",3.784407188,-4.634207795,4.2093074915,4.2093074915
"158","p30530iw","Medium",1.838164863,-4.287527407,3.062846135,3.062846135
"159","p30530iw","Large",1.227147257,-4.568586287,2.897866772,2.897866772
"160","p30530iw","Extra Large",0.047904955,-4.301283344,2.1745941495,2.1745941495
"161","p30530tl","Small",8.623770585,-1.475796855,5.04978372,5.04978372
"162","p30530tl","Medium",6.842440117,-2.517729426,4.6800847715,4.6800847715
"163","p30530tl","Large",5.057574231,-0.296133778,2.6768540045,2.6768540045
"164","p30530tl","Extra Large",5.283096395,-1.088605138,3.1858507665,3.1858507665
"165","p30602kh","Small",-1.253961693,-5.648439164,2.1972387355,2.1972387355
"166","p30602kh","Medium",-1.311743855,-4.112704385,1.400480265,1.400480265
"167","p30602kh","Large",-1.268356663,-5.938935086,2.3352892115,2.3352892115
"168","p30602kh","Extra Large",-3.312847599,-4.554239998,0.6206961995,0.6206961995
"169","p30606tw","Small",4.968041562,2.385392574,1.291324494,1.291324494
"170","p30606tw","Medium",3.960156888,1.642775584,1.158690652,1.158690652
"171","p30606tw","Large",3.361011299,1.809615606,0.7756978465,0.7756978465
"172","p30606tw","Extra Large",3.269817912,2.955225362,0.157296275,0.157296275
"173","p30608at","Small",2.726080244,-2.946327994,2.836204119,2.836204119
"174","p30608at","Medium",3.484346408,-3.222926745,3.3536365765,3.3536365765
"175","p30608at","Large",3.654430201,-2.155503502,2.9049668515,2.9049668515
"176","p30608at","Extra Large",2.470006318,-2.139507841,2.3047570795,2.3047570795
"177","p30613kb","Small",2.806609995,-0.730183503,1.768396749,1.768396749
"178","p30613kb","Medium",2.72591008,-0.426530022,1.576220051,1.576220051
"179","p30613kb","Large",3.55662541,-0.402937555,1.9797814825,1.9797814825
"180","p30613kb","Extra Large",3.33564638,0.006266386,1.664689997,1.664689997
"181","p30613th","Small",1.276765146,-3.885222937,2.5809940415,2.5809940415
"182","p30613th","Medium",-1.025707146,-3.935893833,1.4550933435,1.4550933435
"183","p30613th","Large",-1.751553538,-3.418531113,0.8334887875,0.8334887875
"184","p30613th","Extra Large",-0.400779246,-2.466851291,1.0330360225,1.0330360225
"185","p30907tg","Small",1.012587952,-2.658093052,1.835340502,1.835340502
"186","p30907tg","Medium",0.740044827,-2.518924804,1.6294848155,1.6294848155
"187","p30907tg","Large",0.515296538,-1.431184365,0.9732404515,0.9732404515
"188","p30907tg","Extra Large",0.417287646,-2.389866739,1.4035771925,1.4035771925
"189","p30912cg","Small",5.11611061,0.494205617,2.3109524965,2.3109524965
"190","p30912cg","Medium",5.185529735,1.09233949,2.0465951225,2.0465951225
"191","p30912cg","Large",5.531012149,1.429093443,2.050959353,2.050959353
"192","p30912cg","Extra Large",4.894698272,1.318394031,1.7881521205,1.7881521205
"193","p30912kf","Small",-3.052605743,-7.334740709,2.141067483,2.141067483
"194","p30912kf","Medium",-3.180755407,-6.613517657,1.716381125,1.716381125
"195","p30912kf","Large",-3.022669744,-6.576100082,1.776715169,1.776715169
"196","p30912kf","Extra Large",-3.247557538,-6.764642106,1.758542284,1.758542284
